"astro-ph/0701317","Eric Linder","Eric V. Linder and Robert N. Cahn","Parameterized Beyond-Einstein Growth","8 pages; v2 minor clarifications, matches published version","Astropart.Phys.28:481-488,2007","10.1016/j.astropartphys.2007.09.003",,"astro-ph gr-qc",,"  A single parameter, the gravitational growth index \gamma, succeeds in
characterizing the growth of density perturbations in the linear regime
separately from the effects of the cosmic expansion. The parameter is
restricted to a very narrow range for models of dark energy obeying the laws of
general relativity but takes on distinctly different values in models of
beyond-Einstein gravity. In analogy to the parameterized post-Newtonian (PPN)
formalism for testing gravity, we extend and motivate the gravitational growth
index, or Minimal Modified Gravity, approach to parameterizing beyond-Einstein
cosmology. Using a simple analytic formalism, we show how the growth index
parameter applies to early dark energy, time-varying gravity, DGP braneworld
gravity, and scalar-tensor gravity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 17:51:41 GMT""}]","2010-11-05"
"astro-ph/0701340","Christopher Broeg","C. Broeg and G. Wuchterl","The formation of HD 149026 b","6 pages, 2 figures, letter MNRAS accepted 2007 Jan 9","Mon.Not.Roy.Astron.Soc.Lett.376:L62-L66,2007","10.1111/j.1745-3933.2007.00287.x",,"astro-ph",,"  Today, many extrasolar planets have been detected. Some of them exhibit
properties quite different from the planets in our solar system and they have
eluded attempts to explain their formation. One such case is HD 149026 b. It
was discovered by Sato et al. (2005) . A transit-determined orbital inclination
results in a total mass of 114 earth masses. The unusually small radius can be
explained by a condensible element core with an inferred mass of 67 earth
masses for the best fitting theoretical model.
  In the core accretion model, giant planets are assumed to form around a
growing core of condensible materials. With increasing core mass, the amount of
gravitationally bound envelope mass increases. This continues up to the
so-called critical core mass -- the largest core allowing a hydrostatic
envelope. For larger cores, the lack of static solutions forces a dynamic
evolution of the protoplanet in the process accreting large amounts of gas or
ejecting the envelope. This would prevent the formation of HD 149026 b.
  By studying all possible hydrostatic equilibria we could show that HD 149026
b can remain hydrostatic up to the inferred heavy core. This is possible if it
is formed in-situ in a relatively low-pressure nebula. This formation process
is confirmed by fluid-dynamic calculations using the environmental conditions
as determined by the hydrostatic models.
  We present a quantitative in-situ formation scenario for the massive core
planet HD 149026 b. Furthermore we predict a wide range of possible core masses
for close-in planets like HD 149026 b. This is different from migration where
typical critical core masses should be expected.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 16:11:20 GMT""}]","2008-11-26"
"astro-ph/0701341","Lodovico Coccato","L. Coccato, E. M. Corsini, A. Pizzella, F. Bertola","The search for inner polar disks with integral field spectroscopy: the
  case of NGC 2855 and NGC 7049","Accepted for pubblication in A&A",,"10.1051/0004-6361:20066214",,"astro-ph",,"  The presence of non-circular and off-plane gas motions is frequently observed
in the inner regions of disk galaxies. We have measured with integral-field
spectroscopy the surface-brightness distribution and kinematics of the ionized
gas in NGC 2855 and NGC 7049. These two early-type spiral galaxies were
selected to possibly host a kinematically-decoupled gaseous component in
orthogonal rotation with respect to the galaxy disk. We have modeled the
ionized-gas kinematics and distribution of both galaxies assuming that the
gaseous component is distributed either on two orthogonally-rotating disks or
in a single and strongly warped disk. In both galaxies the velocity field and
distribution of the inner gas are consistent with the presence of an inner
polar disk. In NGC 2855 it correponds to the innermost and strongly warped
portion of the main disk. In NGC 7049 it is a central and
geometrically-decoupled disk, which is nested in the main disk.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 16:20:48 GMT""}]","2009-11-13"
"astro-ph/0701342","John Papaloizou","John C.B. Papaloizou","Protoplanet Magnetosphere Interactions","Accepted for publication in A&A",,"10.1051/0004-6361:20065414",,"astro-ph",,"  In this paper, we study a simple model of an orbiting protoplanet in a
central magnetospheric cavity, the entry into such a cavity having been
proposed as a mechanism for halting inward orbital migration. We have
calculated the gravitational interaction of the protoplanet with the
magnetosphere using a local model and determined the rate of evolution of the
orbit. The interaction is found to be determined by the outward flux of MHD
waves and thus the possibility of the existence of such waves in the cavity is
significant. The estimated orbital evolution rates due to gravitational and
other interactions with the magnetosphere are unlikely to be significant during
protoplanetary disk lifetimes.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:31:40 GMT""}]","2015-06-24"
"astro-ph/0701343","William H. Kinney","Gabriela Barenboim (Universitat de Val\`encia), William H. Kinney
  (Univ. at Buffalo, SUNY)","Slow roll in simple non-canonical inflation","9 pages, LaTeX, four figures. (V2: minor changes to text. Version
  submitted to JCAP.)","JCAP 0703:014,2007","10.1088/1475-7516/2007/03/014",,"astro-ph gr-qc hep-th",,"  We consider inflation using a class of non-canonical Lagrangians for which
the modification to the kinetic term depends on the field, but not its
derivatives. We generalize the standard Hubble slow roll expansion to the
non-canonical case and derive expressions for observables in terms of the
generalized slow roll parameters. We apply the general results to the
illustrative case of ``Slinky'' inflation, which has a simple, exactly
solvable, non-canonical representation. However, when transformed into a
canonical basis, Slinky inflation consists of a field oscillating on a
multi-valued potential. We calculate the power spectrum of curvature
perturbations for Slinky inflation directly in the non-canonical basis, and
show that the spectrum is approximately a power law on large scales, with a
``blue'' power spectrum. On small scales, the power spectrum exhibits strong
oscillatory behavior. This is an example of a model in which the widely used
solution of Garriga and Mukhanov gives the wrong answer for the power spectrum.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 18:44:45 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jan 2007 14:52:39 GMT""}]","2010-10-27"
"astro-ph/0701344","Tom Gehrels","Tom Gehrels","Universes seen by a Chandrasekhar equation in stellar physics","11 pages, no figures, one table",,,,"astro-ph",,"  While we know that quantum, relativity and gravity physics control much of
Nature, Subrahmanyan Chandrasekhar derived an equation showing that for the
structure, composition, and source of energy of stars. This paper extends its
application to universes. A model is derived of these physics indicating that a
primordial mass of our universe is finite, at 1.13179 x 10E+78 proton masses.
This seems confirmed by two sets of data, from the WMAP spacecraft and other
observatories. The model is confirmed more in detail by a determination of the
proton radius, at 8.2 (+/-0.2) x 10E-16 m, with a precise theoretical value.
This is the equivalent radius for a sphere, while the actual shape of the
proton may be ellipsoidal. Together with theories of inflation, the model
predicts the existence of a space-time background that is spawning new
universes. They all have the same physics and near-critical mass. The
multiverse is a hierarchy of increasing numbers of universes. The paper ends
with a set of predictions in terms of suggestions for future work
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:19:06 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jan 2007 17:49:51 GMT""}]","2007-05-23"
"astro-ph/0701345","Rodrigo D\'iaz Mr.","Rodrigo F. D\'iaz, Sebasti\'an Ram\'irez, Jos\'e Miguel Fern\'andez,
  Jos\'e Gallardo, Wolfgang Gieren, Valentin D. Ivanov, Pablo Mauas, Dante
  Minniti, Grzegorz Pietrzynski, Felipe P\'erez, Mar\'ia Teresa Ru\'iz, Andrzej
  Udalski and Manuela Zoccali","Millimagnitude Photometry for Transiting Extrasolar Planetary
  Candidates: II. Transits of OGLE-TR-113-b in the Optical and Near-IR","26 pages, 10 figures, 1 table. Accepted for publication in the
  Astrophysical Journal","Astrophys.J.660:850-857,2007","10.1086/512721",,"astro-ph",,"  We present precise V and Ks-band transit photometry for the planetary host
star OGLE-TR-113. Using the Ks-band photometry, we confirm the dwarf nature of
OGLE-TR-113, and obtain new estimates for its effective temperature, distance
and reddening. We employ the V-band photometry to obtain planetary and orbit
parameters from the transit fit, a= (0.0232 \pm 0.0038) AU, orbital period P=
(1.4324752 \pm 0.0000015) days, i= 86.7 - 90, R_p= (1.09 \pm 0.09) R_J. These
values are in excellent agreement with previous works. Assuming a mass M_p=
(1.32 \pm 0.19) M_J for the planet we obtain its mean density \rho= (1.26 \pm
0.50) g cm^{-3}, also in agreement with previous works. The transit observed in
the Ks-band has a larger scatter and we find its amplitude to be consistent
with that in the V-band. In this way, we find an independent confirmation of
the planetary nature of OGLE-TR-113b.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:19:51 GMT""}]","2008-11-26"
"astro-ph/0701346","Shiya Wang","Shiya Wang and Leslie W. Looney","Young Stellar Groups Around Herbig Ae/Be Stars: A Low-Mass YSO Census","33 pages, accepted to ApJ, see high resolution figures at
  http://www.astro.uiuc.edu/~swang9/papers/wang_groups.ps","Astrophys.J.659:1360-1372,2007","10.1086/512661",,"astro-ph",,"  We present NIR and MIR observations of eight embedded young stellar groups
around Herbig Ae/Be stars (HAEBEs) using archived Spitzer IRAC data and 2MASS
data. These young stellar groups are nearby ($\leq$ 1 kpc) and still embedded
within their molecular clouds. In order to identify the young stellar objects
in our sample, we use the color-color diagram of J - [3.6] vs. Ks - [4.5]. The
Spitzer images of our sample show that the groups around HAEBEs, spectral types
earlier than B8, are usually associated with bright infrared nebulosity. Within
this, there are normally 10 - 50 young stars distributed close to the HAEBEs
($<$ 1 pc). Not only are there young stars around the HAEBEs, there are also
young stellar populations throughout the whole cloud, some are distributed and
some are clumped. The groups around the HAEBEs are sub-structures of the large
young population within the molecular cloud. The sizes of groups are also
comparable with those sub-structures seen in massive clusters. Young stars in
groups around HAEBEs have generally larger SED slopes compared to those
outside, which suggests that the young stars in groups are probably younger
than the distributed systems. This might imply that there is usually a higher
and more continuous star forming rate in groups, that the formation of groups
initiates later, or that low mass stars in groups form slower than those
outside. Finally, there is no obvious trend between the SED slopes and the
distance to the HAEBEs for those young stars within the groups. This suggests
that the clustering of young stars dominates over the effect of massive stars
on the low-mass young stars at the scale of our study.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:36:15 GMT""}]","2011-02-11"
"astro-ph/0701347","Scott McIntosh","Scott W. McIntosh, Robert J. Leamon, Alisdair R. Davey, Meredith J.
  Wills-Davey","The Post-Eruptive Evolution of a Coronal Dimming","In Press ApJ [May 2007] - 15 pages, 5 figures, 7 movies that are
  available upon request [contact author]","Astrophys.J.660:1653-1659,2007","10.1086/512665",,"astro-ph",,"  We discuss the post-eruptive evolution of a ""coronal dimming"" based on
observations of the EUV corona from the Solar and Heliospheric Observatory and
the Transition Region and Coronal Explorer. This discussion highlights the
roles played by magnetoconvection-driven magnetic reconnection and the global
magnetic environment of the plasma in the ""filling"" and apparent motion of the
region following the eruption of a coronal mass ejection (CME). A crucial
element in our understanding of the dimming region evolution is developed by
monitoring the disappearance and reappearance of bright TRACE ""moss"" around the
active region giving rise to the CME. We interpret the change in the TRACE moss
as a proxy of the changing coronal magnetic field topology behind the CME
front. We infer that the change in global magnetic topology also results in a
shift of energy balance in the process responsible for the production of the
moss emission while the coronal magnetic topology evolves from closed, to open
and back to closed again because, following the eruption, the moss reforms
around the active region in almost exactly its pre-event configuration. As a
result of the moss evolution, combining our discussion with recent
spectroscopic results of an equatorial coronal hole, we suggest that the
interchangeable use of the term ""transient coronal hole"" to describe a coronal
dimming is more than just a simple coincidence.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 19:42:54 GMT""}]","2011-02-11"
"astro-ph/0701348","Scott McIntosh","Robert J. Leamon, Scott W. McIntosh","Empirical Solar Wind Forecasting from the Chromosphere","In Press ApJ [March 2007] - 14 pages, 4 figures, one movie [available
  on request]","Astrophys.J.659:738-742,2007","10.1086/511777",,"astro-ph",,"  Recently, we correlated the inferred structure of the solar chromospheric
plasma topography with solar wind velocity and composition data measured at
1AU. We now offer a physical justification of these relationships and present
initial results of a empirical prediction model based on them. While still
limited by the fundamentally complex physics behind the origins of the solar
wind and how its structure develops in the magnetic photosphere and expands
into the heliosphere, our model provides a near continuous range of solar wind
speeds and composition quantities that are simply estimated from the inferred
structure of the chromosphere. We suggest that the derived quantities may
provide input to other, more sophisticated, prediction tools or models such as
those to study Coronal Mass Ejections (CME) propagation and Solar Energetic
Particle (SEP) generation.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:15:06 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jan 2007 12:56:22 GMT""}]","2011-02-11"
"astro-ph/0701349","Pierre Hily-Blant","Meltem Akyilmaz (PHYSICS Department), David Flower (PHYSICS
  Department), Pierre Hily-Blant (IRAM), G. Pineau Des for\^ets (IAS, Lerma),
  Malcolm Walmsley (INAF)","The depletion of NO in pre-protostellar cores",,,"10.1051/0004-6361:20066131",,"astro-ph",,"  Understanding the depletion of heavy elements is a fundamental step towards
determining the structure of pre-protostellar cores just prior to collapse. We
study the dependence of the NO abundance on position in the pre-protostellar
cores L1544 and L183. We observed the 150 GHz and 250~GHz transitions of NO and
the 93 GHz transitions of \NTHP \ towards L1544 and L183 using the IRAM 30 m
telescope. We compare the variation of the NO column density with position in
these objects with the H column density derived from dust emission
measurements. We find that NO behaves differently from \NTHP \ and appears to
be partially depleted in the high density core of L1544. Other
oxygen-containing compounds are also likely to be partially depleted in
dense-core nuclei. The principal conclusions are that: the prestellar core
L1544 is likely to be 'carbon-rich'; the nitrogen chemistry did not reach
equilibrium prior to gravitational collapse, and nitrogen is initially (at
densities of the order of $10^4$~cm$^{-3}$) mainly in atomic form; the grain
sticking probabilities of atomic C, N and, probably, O are significantly
smaller than unity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 20:35:10 GMT""}]","2016-08-14"
