"astro-ph/0701540","Junhui Fan","J.H. Fan, Y. Liu, Y.H. Yuan, et al","Radio variability properties for radio sources","28 pages, 6 figures, 3 tables, A&A in press",,"10.1051/0004-6361:20054775",,"astro-ph",,"  In this paper, we used the database of the university of Michigan Radio
Astronomy Observatory (UMRAO) at three (4.8 GHz, 8.0 GHZ, and 14.5 GHz) radio
frequency to analyze the radio light curves by the power spectral analysis
method in search of possible periodicity. The analysis results showed that the
radio sources display astrophysically meaningful periodicity ranging from 2.2
to 20.8 years in their light curves at the three frequencies. We also
calculated the variability parameters and investigated the correlations between
the variability parameter and the flux density. For the variability parameters,
we found that the parameters at higher frequency are higher than those in the
lower frequency. In addition, the variability parameters of BL Lacertae objects
are larger than those of flat-spectrum radio quasars. suggesting that they are
more variable than flat spectrum radio quasars.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 16:46:29 GMT""}]","2009-11-13"
"astro-ph/0701541","Paul McMillan J.","P.J. McMillan, E. Athanassoula & W. Dehnen","The haloes of merger remnants","10 pages, 11 figures, MNRAS accepted, edited to correct equation 4","Mon.Not.Roy.Astron.Soc.376:1261-1269,2007","10.1111/j.1365-2966.2007.11516.x",,"astro-ph",,"  We perform collisionless N-body simulations of 1:1 galaxy mergers, using
models which include a galaxy halo, disc and bulge, focusing on the behaviour
of the halo component. The galaxy models are constructed without recourse to a
Maxwellian approximation. We investigate the effect of varying the galaxies'
orientation, their mutual orbit, and the initial velocity anisotropy or cusp
strength of the haloes upon the remnant halo density profiles and shape, as
well as on the kinematics. We observe that the halo density profile (determined
as a spherical average, an approximation we find appropriate) is exceptionally
robust in mergers, and that the velocity anisotropy of our remnant haloes is
nearly independent of the orbits or initial anisotropy of the haloes. The
remnants follow the halo anisotropy - local density slope (\beta-\gamma)
relation suggested by Hansen & Moore (2006} in the inner parts of the halo, but
\beta is systematically lower than this relation predicts in the outer parts.
Remnant halo axis ratios are strongly dependent on the initial parameters of
the haloes and on their orbits. We also find that the remnant haloes are
significantly less spherical than those described in studies of simulations
which include gas cooling.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 17:25:16 GMT""},{""version"":""v2"",""created"":""Fri, 23 Mar 2007 15:16:09 GMT""}]","2008-11-26"
"astro-ph/0701542","Fu-Sin Ling","J.-M. Fr\`ere, F.-S. Ling, G. Vertongen","Bound on the Dark Matter Density in the Solar System from Planetary
  Motions","7 pages, 1 figure","Phys.Rev.D77:083005,2008","10.1103/PhysRevD.77.083005","ULB-TH/07-04","astro-ph",,"  High precision planet orbital data extracted from direct observation,
spacecraft explorations and laser ranging techniques enable to put a strong
constraint on the maximal dark matter density of a spherical halo centered
around the Sun. The maximal density at Earth's location is of the order $10^5$
${\rm GeV/cm^3}$ and shows only a mild dependence on the slope of the halo
profile, taken between 0 and -2. This bound is somewhat better than that
obtained from the perihelion precession limits.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 17:47:19 GMT""}]","2008-11-26"
"astro-ph/0701543","Fabrizio Nicastro","Fabrizio Nicastro (1,2), Yair Krongold (3), Martin Elvis (2), Nancy
  Brickhouse (2), Smita Mathur (4), Luc Binette (3) ((1) Osservatorio
  Astronomico di Roma - INAF, Roma, Italy; (2) Harvard-Smithsonian Center for
  Astrophysics, Cambridge, MA, USA; (3) Insituto de Astronomia - UNAM, Mexico
  City, Mexico; (4) Ohio State University, Columbus, OH, USA)","Time-Evolving Photoionization: the Thin and Compact X-Ray Wind of NGC
  4051","4 Pages, 3 Figures. To appear in the proceedings of the conference
  ""The Central Engine of Active Galactic Nuclei"" (16-21 October 2006, Xi'An,
  China)",,,,"astro-ph",,"  We discuss the power of time-evolving photoionization as a diagnostic tool to
measure the electron density of photoionized gas. We apply this technique to a
XMM-Newton observation of the ionized absorber in the Seyfert 1 galaxy NGC
4051, and present the first measurements of the its volume density, its
distance from the central ionizing source, and so its mass outflow rate. By
extrapolating these measurements to high-luminosity, large black hole mass,
quasars, we speculate that AGN winds can play important roles both in the
AGN-host-galaxy and AGN-IGM feedback processes.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 18:22:10 GMT""}]","2007-05-23"
"astro-ph/0701544","Hal Levison","Harold F. Levison and Alessandro Morbidelli","Models of the Collisional Damping Scenario for Ice Giant Planets and
  Kuiper Belt Formatio",,,"10.1016/j.icarus.2007.01.004",,"astro-ph",,"  Chiang et al. 2006, hereafter C06 have recently proposed that the observed
structure of the Kuiper belt could be the result of a dynamical instability of
a system of ~5 primordial ice giant planets in the outer Solar System.
According to this scenario, before the instability occurred, these giants were
growing in a highly collisionally damped environment according to the arguments
in Goldreich et al. (2004a,b, hereafter G04). Here we test this hypothesis with
a series of numerical simulations using a new code designed to incorporate the
dynamical effects of collisions. We find that we cannot reproduce the observed
Solar System. In particular, G04 and C06 argue that during the instability, all
but two of the ice giants would be ejected from the Solar System by Jupiter and
Saturn, leaving Uranus and Neptune behind. We find that ejections are actually
rare and that instead the systems spread outward. This always leads to a
configuration with too many planets that are too far from the Sun. Thus, we
conclude that both G04's scheme for the formation of Uranus and Neptune and
C06's Kuiper belt formation scenario are not viable in their current forms.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 18:50:02 GMT""}]","2009-11-13"
"astro-ph/0701545","Pasquale Blasi","Pasquale Blasi (1), Stefano Gabici (2), Gianfranco Brunetti (3) ((1)
  INAF/Arcetri, (2) Max-Planck Heidelberg, (3) INAF/IRA/Bologna)","Gamma rays from clusters of galaxies","Review Paper to appear in the International Journal of Modern Physics
  A","Int.J.Mod.Phys. A22 (2007) 681-706","10.1142/S0217751X0703529X","Arcetri/0701","astro-ph",,"  Clusters of galaxies and the large scale filaments that connect neighboring
clusters are expected to be sites of acceleration of charged particles and
sources of non-thermal radiation from radio frequencies to gamma rays. Gamma
rays are particularly interesting targets of investigation, since they may
provide precious information on the nature and efficiency of the processes of
acceleration and magnetic confinement of hadrons within clusters of galaxies.
Here we review the status of viable scenarios that lead to the production of
gamma rays from large scale structures and are compatible with the
multifrequency observations that are already available. We also discuss the
possibility of detection of gamma rays with space-borne telescopes such as
GLAST and ground based Cherenkov telescopes, and the physical information that
may be gathered from such observations.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 19:05:01 GMT""}]","2009-11-13"
"astro-ph/0701546","Francesca Panessa","F. Panessa, X. Barcons, L. Bassani, M. Cappi, F. J. Carrera, L.C. Ho,
  S. Pellegrini","The X-ray and Radio Connection in Low-luminosity Active Nuclei","11 pages, 7 figures, accepted for publication on A&A including
  referee's comments",,"10.1051/0004-6361:20066943",,"astro-ph",,"  We present the results of the correlation between the nuclear 2-10 keV X-ray
and radio (at 2cm, 6cm and 20cm) luminosities for a well defined sample of
local Seyfert galaxies. We use a sample of low luminosity radio galaxies
(LLRGs) for comparison. In both Seyfert and LLRGs samples, X-ray and radio
luminosities are significantly correlated over 8 orders of magnitude,
indicating that the X-ray and radio emission sources are strongly coupled.
Moreover, both samples show a similar regression slope, L(X)$\propto$
L(R)^(0.97), but Seyfert galaxies are three orders of magnitude less luminous
in the radio band than LLRGs. This suggests that either similar physical
mechanisms are responsible for the observed emission or a combination of
different mechanisms ends up producing a similar correlation slope. Indeed, the
common belief for LLRG is that both the X-ray and radio emission are likely
dominated by a relativistic jet component, while in Seyfert galaxies the X-ray
emission probably arises from a disk-corona system and the radio emission is
attributed to a jet/outflow component. We investigate the radio loudness issue
in the two samples and find that the Seyfert galaxies and the LLRGs show a
different distribution of the radio loudness parameters. No correlation is
found between the luminosity and the radio loudness, however the latter is
related to the black hole mass and anti-correlated with the Eddington ratio.
The dichotomy in the radio loudness between Seyfert and LLRG observed down to
low Eddington ratios, L(2-10)/L(Edd) $\sim$ 10^(-8), does not support the idea
that the origin of the radio loudness is due to a switch in the accretion mode.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 19:32:10 GMT""}]","2009-11-13"
"astro-ph/0701547","Sean Moran","Sean M. Moran, Richard S. Ellis, Tommaso Treu, Graham P. Smith","Reflections of Cluster Assembly in the Stellar Populations and Dynamics
  of Member Galaxies","4 pages, Contribution to the proceedings of ""Cosmic Frontiers"",
  Durham, UK, July 31-August 4, 2006, ASP Conference Series",,,,"astro-ph",,"  We combine optical (HST) and UV (GALEX) imaging of two intermediate redshift
galaxy clusters with spectroscopy of member galaxies, to study the relation
between the formation history of cluster galaxies and the assembly history of
the cluster structure itself. We identify key differences in the large-scale
structure and intracluster medium properties of each cluster. In order to
assess the importance of cluster substructure and the ICM in the evolution of
cluster galaxies, we examine several key indicators of the recent
star-formation and assembly history of cluster galaxies. We find that galaxies
in cluster MS0451 (z=0.54) exhibit a markedly lower incidence of recent star
formation activity than galaxies in cluster Cl0024 (z=0.39), likely the result
of starvation by the ICM. In addition, Cl0024 members show evidence for
kinematic disturbances that can be linked to the assembly of substructure.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 19:26:49 GMT""}]","2007-05-23"
"astro-ph/0701548","Bradley E. Schaefer","Bradley E. Schaefer and Andrew C. Collazzi","Generalized Tests for Eight GRB Luminosity Relations","Ap.J. Letters in press, 11 pages","Astrophys.J.656:L53-L56,2007","10.1086/512855",,"astro-ph",,"  Long duration Gamma-Ray Bursts (GRBs) have eight luminosity relations where
observable burst properties can yield the burst luminosity and hence distance.
This turns GRBs into useful tools of cosmology. Recently, two tests have been
proposed (by Nakar & Piran and by Li) for which one of the eight relations is
claimed to have significant problems. In this paper, we generalize these tests
and apply them to all eight GRB luminosity relations. (a) All eight relations
pass the Nakar & Piran test after accounting for the uncertainties on the data
and the dispersions of the correlations. (b) All eight relations are good when
the GRB redshifts are known, for example for calibration of the relations and
for GRB Hubble diagram purposes. (c) We confirm the earlier results that the
E_gamma,iso - E_peak Amati relation must produce very large error bars whenever
an unknown redshift being sought is >1.4. (d) The E_gamma - E_peak relation of
Ghirlanda et al. must produce very large error bars whenever an unknown
redshift being sought is >3.4. (e) The other six relations have no problem at
all from the ambiguity test of Li.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 19:50:06 GMT""}]","2011-02-11"
"astro-ph/0701549","Mukremin Kilic","Mukremin Kilic (Ohio State) and Seth Redfield (Texas)","A Dusty Disk Around WD1150-153: Explaining the Metals in White Dwarfs by
  Accretion from the Interstellar Medium versus Debris Disks","ApJ, in press","Astrophys.J.660:641-650,2007","10.1086/513008",,"astro-ph",,"  We report the discovery of excess K-band radiation from a metal-rich DAV
white dwarf star, WD1150-153. Our near infrared spectroscopic observations show
that the excess radiation cannot be explained by a (sub)stellar companion, and
is likely to be caused by a debris disk similar to the other DAZ white dwarfs
with circumstellar debris disks. We find that the fraction of DAZ white dwarfs
with detectable debris disks is at least 14%. We also revisit the problem of
explaining the metals in white dwarf photospheres by accretion from the
interstellar medium (ISM). We use the observed interstellar column densities
toward stars in close angular proximity and similar distance as DAZ white
dwarfs to constrain the contribution of accretion from the ISM. We find no
correlation between the accretion density required to supply metals observed in
DAZs with the densities observed in their interstellar environment, indicating
that ISM accretion alone cannot explain the presence of metals in nearby DAZ
white dwarfs. Although ISM accretion will certainly contribute, our analysis
indicates that it is not the dominant source of metals for most DAZ white
dwarfs. Instead, the growing number of circumstellar debris disks around DAZs
suggests that circumstellar material may play a more dominant role in polluting
the white dwarf atmospheres.
","[{""version"":""v1"",""created"":""Thu, 18 Jan 2007 21:05:13 GMT""}]","2011-02-11"
